vanishing point: (-1,-1)

(88.7128,143.889)	(82.5523,145.233)	(74.5708,147.064)	(67.3532,148.269)	(58.5277,149.786)	(48.6078,151.277)	(40.8404,152.62)	(27.7238,154.807)	(12.4004,156.742)	
(130.212,136.945)	(129.23,137.212)	(128.441,137.847)	(125.794,138.24)	(123.274,138.456)	(120.227,138.83)	(118.468,138.916)	(115.064,139.425)	(110.226,139.879)	
(78.7523,75.8465)	(73.0364,73.03)	(66.4642,69.9067)	(60.1859,66.5883)	(52.989,63.1808)	(45.0999,59.9834)	(39.8782,57.3847)	(31.1964,53.0256)	(21.7836,48.0554)	
(71,61)	(64.9821,58.3936)	(58.8542,55.7471)	(52.4272,52.2038)	(44.7457,48.2405)	(37.4409,44.9171)	(31.6588,41.747)	(22.093,36.4903)	(12.0229,30.9605)	
(274.56,91.0077)	(278.265,89.4241)	(286.488,85.6777)	(290.744,83.8448)	(291.715,83.3579)	(295.907,80.0868)	(297.94,79.0664)	(302.527,77.3381)	(304.067,76.9727)	
(95,99)	(91.1578,98.1503)	(87.0786,97.2344)	(84.2802,96.3772)	(78.9566,94.6282)	(76.2952,93.3466)	(72.3499,91.9114)	(66.8451,90.0007)	(60.9157,88.1338)	
(80.4171,80.6938)	(74.9065,78.2634)	(68.502,75.4132)	(62.212,72.3475)	(55.161,69.3388)	(47.3234,66.3947)	(42.3765,64.282)	(33.9063,60.4981)	(24.3993,55.9473)	
(82,61)	(77.1462,59.6325)	(71.7086,57.9939)	(66.0841,55.3049)	(59.7743,52.7317)	(52.5524,49.7929)	(47.7076,48.0162)	(39.7128,44.6609)	(31.1535,40.7557)	
(103,92)	(99.544,91.3363)	(96.031,90.7224)	(92.1503,89.1095)	(89.1442,87.9332)	(86.7889,87.1734)	(83.2995,86.1932)	(78.9639,85.3747)	(74.4758,83.9295)	
(78.7723,75.8583)	(73.0562,73.0432)	(66.4853,69.9206)	(60.2064,66.6029)	(53.0106,63.1969)	(45.1215,60)	(39.9023,57.4042)	(31.2168,53.0429)	(21.8044,48.0745)	
(275.794,88.5371)	(282.028,85.485)	(289.842,82.7149)	(297.543,79.7449)	(302.172,79.025)	(307.785,77.0892)	(310.169,76.0401)	(315.227,73.7873)	(318.668,73.263)	
(80.4218,80.6581)	(74.9133,78.229)	(68.5068,75.3732)	(62.2188,72.3069)	(55.1704,69.2983)	(47.335,66.3549)	(42.3874,64.2443)	(33.9172,60.4622)	(24.4121,55.9143)	
(70,45)	(64.9508,43.6552)	(59.4215,42.004)	(52.2349,38.7776)	(44.8111,35.039)	(37.1275,31.4003)	(30.9834,28.7408)	(21.0783,23.7519)	(10.855,17.4367)	
(87,130)	(83.4999,131.183)	(76.6161,132.025)	(70.0254,132.725)	(63.8642,133.583)	(56.6661,134.295)	(47.8874,134.786)	(35.5904,135.743)	(22.5525,136.561)	
(111,83)	(108.321,82.5218)	(106.187,82.1035)	(103.385,80.2766)	(101.695,79.1678)	(99.073,77.8217)	(96.8547,76.6918)	(92.6229,75.6992)	(88.5984,74.2084)	
(103,109)	(100.16,108.66)	(97.2405,108.55)	(94.2528,107.964)	(89.6573,106.708)	(86.8371,105.882)	(84.2506,105.582)	(79.3239,103.476)	(77.8196,102.84)	
(80,99)	(73.5477,95.8846)	(64.7713,91.8247)	(56.8461,88.1592)	(50.1822,86.5081)	(43.807,85.9488)	(39.0322,84.5047)	(31.1933,81.6437)	(21.2763,77.7177)	
(130.208,136.946)	(129.224,137.213)	(128.436,137.848)	(125.786,138.242)	(123.267,138.458)	(120.214,138.833)	(118.453,138.92)	(115.046,139.43)	(110.203,139.885)	
(62,52)	(55.9192,49.6784)	(50.2035,47.2668)	(43.806,44.1017)	(35.8086,39.9529)	(28.7082,36.5403)	(22.6459,33.5973)	(13.3306,28.6158)	(3.09809,22.0828)	
(87,112)	(78.9343,107.253)	(70.7701,103.525)	(62.7898,99.9418)	(55.5793,98.4202)	(46.7731,95.8761)	(42.2973,94.648)	(34.6249,92.2154)	(25.4197,88.8838)	
